Llegada Futbol 64;5749,4281;;;6100,8301;0,4592;368,9324;6118,3605;;;5763,2197;;;;5774,4904;Ocupada;2;;;219,1943;309,2677;46,5714;10;7;7;26;0;Jugando;5681,1024;Futbol;En Espera;5734,5218;Basket;En Espera;5749,4281;Futbol;;;;;;;;;
Llegada Handball 65;5763,2197;;;6100,8301;;;6118,3605;0,1377;633,0527;6396,2724;;;;5774,4904;Ocupada;3;;;219,1943;309,2677;46,5714;10;7;7;27;0;Jugando;5681,1024;Futbol;En Espera;5734,5218;Basket;En Espera;5749,4281;Futbol;En Espera;5763,2197;Handball;;;;;;
Fin Ocupacion 66;5774,4904;;;6100,8301;;;6118,3605;;;6396,2724;Basket;0,0665;73,99;5848,4803;Ocupada;2;;;259,1628;309,2677;46,5714;11;7;7;27;0;Finalizo;5681,1024;Futbol;Jugando;5734,5218;Basket;En Espera;5749,4281;Futbol;En Espera;5763,2197;Handball;;;;;;
Fin Ocupacion 67;5848,4803;;;6100,8301;;;6118,3605;;;6396,2724;Futbol;0,7359;94,718;5943,1983;Ocupada;1;;;259,1628;408,3199;46,5714;11;8;7;27;0;;;;Finalizo;5734,5218;Basket;Jugando;5749,4281;Futbol;En Espera;5763,2197;Handball;;;;;;
Fin Ocupacion 68;5943,1983;;;6100,8301;;;6118,3605;;;6396,2724;Handball;0,1607;71,249;6014,4473;Ocupada;0;;;259,1628;408,3199;226,55;11;8;8;27;0;;;;;;;Finalizo;5749,4281;Futbol;Jugando;5763,2197;Handball;;;;;;
Fin Ocupacion 69;6014,4473;;;6100,8301;;;6118,3605;;;6396,2724;;;;;Limpiando;0;10;6024,4473;259,1628;408,3199;226,55;11;8;8;27;0;;;;;;;;;;Finalizo;5763,2197;Handball;;;;;;
Fin de Limpieza 70;6024,4473;;;6100,8301;;;6118,3605;;;6396,2724;;;;;Libre;0;;;259,1628;408,3199;226,55;11;8;8;27;0;;;;;;;;;;;;;;;;;;
Llegada Basket 71;6100,8301;0,5118;482,8533;6583,6834;;;6118,3605;;;6396,2724;Basket;0,3889;93,334;6194,1641;Ocupada;0;;;259,1628;408,3199;226,55;12;8;8;28;0;Jugando;6100,8301;Basket;;;;;;;;;;;;;;;
Llegada Futbol 72;6118,3605;;;6583,6834;0,4258;332,9631;6451,3236;;;6396,2724;;;;6194,1641;Ocupada;1;;;259,1628;408,3199;226,55;12;8;8;29;0;Jugando;6100,8301;Basket;En Espera;6118,3605;Futbol;;;;;;;;;;;;
Fin Ocupacion 73;6194,1641;;;6583,6834;;;6451,3236;;;6396,2724;Futbol;0,551;91,02;6285,1841;Ocupada;0;;;259,1628;484,1235;226,55;12;9;8;29;0;Finalizo;6100,8301;Basket;Jugando;6118,3605;Futbol;;;;;;;;;;;;
Fin Ocupacion 74;6285,1841;;;6583,6834;;;6451,3236;;;6396,2724;;;;;Limpiando;0;10;6295,1841;259,1628;484,1235;226,55;12;9;8;29;0;;;;Finalizo;6118,3605;Futbol;;;;;;;;;;;;
Fin de Limpieza 75;6295,1841;;;6583,6834;;;6451,3236;;;6396,2724;;;;;Libre;0;;;259,1628;484,1235;226,55;12;9;8;29;0;;;;;;;;;;;;;;;;;;
Llegada Handball 76;6396,2724;;;6583,6834;;;6451,3236;0,5603;734,4842;7130,7566;Handball;0,7985;115,895;6512,1674;Ocupada;0;;;259,1628;484,1235;226,55;12;9;9;30;0;Jugando;6396,2724;Handball;;;;;;;;;;;;;;;
Llegada Futbol 77;6451,3236;;;6583,6834;0,1547;100,9065;6552,2301;;;7130,7566;;;;6512,1674;Ocupada;1;;;259,1628;484,1235;226,55;12;9;9;31;0;Jugando;6396,2724;Handball;En Espera;6451,3236;Futbol;;;;;;;;;;;;
Fin Ocupacion 78;6512,1674;;;6583,6834;;;6552,2301;;;7130,7566;Futbol;0,4026;88,0519;6600,2193;Ocupada;0;;;259,1628;544,9673;226,55;12;10;9;31;0;Finalizo;6396,2724;Handball;Jugando;6451,3236;Futbol;;;;;;;;;;;;
Llegada Futbol 79;6552,2301;;;6583,6834;0,2349;160,6641;6712,8942;;;7130,7566;;;;6600,2193;Ocupada;1;;;259,1628;544,9673;226,55;12;10;9;32;0;En Espera;6552,2301;Futbol;Jugando;6451,3236;Futbol;;;;;;;;;;;;
Llegada Basket 80;6583,6834;0,317;436,0836;7019,767;;;6712,8942;;;7130,7566;;;;6600,2193;Ocupada;2;;;259,1628;544,9673;226,55;12;10;9;33;0;En Espera;6552,2301;Futbol;Jugando;6451,3236;Futbol;En Espera;6583,6834;Basket;;;;;;;;;
Fin Ocupacion 81;6600,2193;;;7019,767;;;6712,8942;;;7130,7566;Futbol;0,4421;88,842;6689,0612;Ocupada;1;;;259,1628;592,9565;226,55;12;11;9;33;0;Jugando;6552,2301;Futbol;Finalizo;6451,3236;Futbol;En Espera;6583,6834;Basket;;;;;;;;;
Fin Ocupacion 82;6689,0612;;;7019,767;;;6712,8942;;;7130,7566;Basket;0,5584;103,5039;6792,5651;Ocupada;0;;;364,5406;592,9565;226,55;13;11;9;33;0;Finalizo;6552,2301;Futbol;;;;Jugando;6583,6834;Basket;;;;;;;;;
Llegada Futbol 83;6712,8942;;;7019,767;0,893;1341,3306;8054,2248;;;7130,7566;;;;6792,5651;Ocupada;1;;;364,5406;592,9565;226,55;13;11;9;34;0;En Espera;6712,8942;Futbol;;;;Jugando;6583,6834;Basket;;;;;;;;;
Fin Ocupacion 84;6792,5651;;;7019,767;;;8054,2248;;;7130,7566;Futbol;0,2627;85,254;6877,8191;Ocupada;0;;;364,5406;672,6274;226,55;13;12;9;34;0;Jugando;6712,8942;Futbol;;;;Finalizo;6583,6834;Basket;;;;;;;;;
Fin Ocupacion 85;6877,8191;;;7019,767;;;8054,2248;;;7130,7566;;;;;Limpiando;0;10;6887,8191;364,5406;672,6274;226,55;13;12;9;34;0;Finalizo;6712,8942;Futbol;;;;;;;;;;;;;;;
Fin de Limpieza 86;6887,8191;;;7019,767;;;8054,2248;;;7130,7566;;;;;Libre;0;;;364,5406;672,6274;226,55;13;12;9;34;0;;;;;;;;;;;;;;;;;;
Llegada Basket 87;7019,767;0,0736;377,6742;7397,4412;;;8054,2248;;;7130,7566;Basket;0,0665;73,99;7093,757;Ocupada;0;;;364,5406;672,6274;226,55;14;12;9;35;0;Jugando;7019,767;Basket;;;;;;;;;;;;;;;
Fin Ocupacion 88;7093,757;;;7397,4412;;;8054,2248;;;7130,7566;;;;;Limpiando;0;10;7103,757;364,5406;672,6274;226,55;14;12;9;35;0;Finalizo;7019,767;Basket;;;;;;;;;;;;;;;
Fin de Limpieza 89;7103,757;;;7397,4412;;;8054,2248;;;7130,7566;;;;;Libre;0;;;364,5406;672,6274;226,55;14;12;9;35;0;;;;;;;;;;;;;;;;;;
Llegada Handball 90;7130,7566;;;7397,4412;;;8054,2248;0,6006;744,1516;7874,9082;Handball;0,7681;113,767;7244,5236;Ocupada;0;;;364,5406;672,6274;226,55;14;12;10;36;0;Jugando;7130,7566;Handball;;;;;;;;;;;;;;;
Fin Ocupacion 91;7244,5236;;;7397,4412;;;8054,2248;;;7874,9082;;;;;Limpiando;0;10;7254,5236;364,5406;672,6274;226,55;14;12;10;36;0;Finalizo;7130,7566;Handball;;;;;;;;;;;;;;;
Fin de Limpieza 92;7254,5236;;;7397,4412;;;8054,2248;;;7874,9082;;;;;Libre;0;;;364,5406;672,6274;226,55;14;12;10;36;0;;;;;;;;;;;;;;;;;;
Llegada Basket 93;7397,4412;0,103;384,7336;7782,1748;;;8054,2248;;;7874,9082;Basket;0,9246;125,476;7522,9172;Ocupada;0;;;364,5406;672,6274;226,55;15;12;10;37;0;Jugando;7397,4412;Basket;;;;;;;;;;;;;;;
Fin Ocupacion 94;7522,9172;;;7782,1748;;;8054,2248;;;7874,9082;;;;;Limpiando;0;10;7532,9172;364,5406;672,6274;226,55;15;12;10;37;0;Finalizo;7397,4412;Basket;;;;;;;;;;;;;;;
Fin de Limpieza 95;7532,9172;;;7782,1748;;;8054,2248;;;7874,9082;;;;;Libre;0;;;364,5406;672,6274;226,55;15;12;10;37;0;;;;;;;;;;;;;;;;;;
Llegada Basket 96;7782,1748;0,8611;566,6777;8348,8525;;;8054,2248;;;7874,9082;Basket;0,1786;80,716;7862,8908;Ocupada;0;;;364,5406;672,6274;226,55;16;12;10;38;0;Jugando;7782,1748;Basket;;;;;;;;;;;;;;;
Fin Ocupacion 97;7862,8908;;;8348,8525;;;8054,2248;;;7874,9082;;;;;Limpiando;0;10;7872,8908;364,5406;672,6274;226,55;16;12;10;38;0;Finalizo;7782,1748;Basket;;;;;;;;;;;;;;;
